task_id,domain,task_type,difficulty,blind_model_code,provider_ui,model_display,verdict,severity,technical_correctness,evidence_grounding,completeness,uncertainty_calibration,systems_reasoning,clarity,error_taxonomy,critical_failure,review_path,reviewer_confidence,written_rationale,improved_answer,candidate_response,source_reference,prompt,reference_context,annotation_origin
RB-NOG-004,NOG / Operating Procedures,Configuration control,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Precisely states that procedure validity depends on an explicit impact assessment and that periodic revision is not an automatic grace period. No material correction is needed, and the answer is sufficiently bounded for the stated configuration control task.","Not necessarily. Approval of a design modification does not, by itself, establish that the existing normal operating guideline remains valid.

The key question is whether the modification changes any assumptions, operating limits, equipment states, control actions, indications, setpoints, procedures, or human interactions addressed by the guideline. If it does, the guideline should be reviewed and revised, or its continued applicability formally justified, **before the modified system is operated under conditions covered by the guideline**.

If the modification is demonstrably independent of the guideline and does not invalidate any of its technical bases or operating instructions, leaving the guideline unchanged until the next periodic revision may be acceptable. That determination should be documented through the plant's configuration-management/change-control process, with appropriate verification that related procedures and training are also unaffected.

Thus, **periodic revision should not be treated as an automatic grace period**. Whether the guideline can remain unchanged is design- and process-dependent and should follow from an explicit impact assessment of the approved modification.","Not necessarily. Approval of a design modification does not, by itself, establish that the existing normal operating guideline remains valid.

The key question is whether the modification changes any assumptions, operating limits, equipment states, control actions, indications, setpoints, procedures, or human interactions addressed by the guideline. If it does, the guideline should be reviewed and revised, or its continued applicability formally justified, **before the modified system is operated under conditions covered by the guideline**.

If the modification is demonstrably independent of the guideline and does not invalidate any of its technical bases or operating instructions, leaving the guideline unchanged until the next periodic revision may be acceptable. That determination should be documented through the plant's configuration-management/change-control process, with appropriate verification that related procedures and training are also unaffected.

Thus, **periodic revision should not be treated as an automatic grace period**. Whether the guideline can remain unchanged is design- and process-dependent and should follow from an explicit impact assessment of the approved modification.",IAEA SSG-70; SSG-71; configuration-management principles,A system design modification has been approved. Can the existing normal operating guideline remain unchanged until the next periodic revision?,"Procedure impact should be assessed as part of modification/configuration control. If the modification affects operating actions, indications, limits, interfaces or expected response, affected procedures should be updated and validated before relying on the modified configuration.",assistant_drafted_expert_review_pending_user_signoff
RB-GIF-MSR-001,GIF Gen-IV — MSR,Technology-family distinction,Medium,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Accurately frames MSR as a broad family and explains why fuel form changes neutronics, fuel handling, fission-product behavior and accident response. No material correction is needed, and the answer is sufficiently bounded for the stated technology-family distinction task.","It is misleading because **“molten salt reactor” describes a broad reactor class, not a single fuel configuration**. In some MSRs, such as liquid-fuel designs, fissile material is dissolved in the circulating salt, and the same salt functions as both fuel carrier and coolant. But other MSRs use **solid fuel**, such as fuel particles, plates, or fuel elements, while molten salt serves primarily as the coolant (and potentially for other functions).

Even among liquid-fuel concepts, the salt is not necessarily best characterized simply as “the coolant”: it can simultaneously provide fuel transport, heat removal, neutron moderation in some designs, and chemical containment of fission products.

The distinction matters because fuel form strongly affects **neutronics, fuel handling and processing, fission-product behavior, accident response, materials degradation, and decay-heat removal**. Therefore, saying that every MSR has “fuel dissolved in the coolant” conflates liquid-fuel MSRs with the wider family of molten-salt-cooled reactors. The exact roles are **design-specific**, so the terminology should be qualified rather than generalized.","It is misleading because **“molten salt reactor” describes a broad reactor class, not a single fuel configuration**. In some MSRs, such as liquid-fuel designs, fissile material is dissolved in the circulating salt, and the same salt functions as both fuel carrier and coolant. But other MSRs use **solid fuel**, such as fuel particles, plates, or fuel elements, while molten salt serves primarily as the coolant (and potentially for other functions).

Even among liquid-fuel concepts, the salt is not necessarily best characterized simply as “the coolant”: it can simultaneously provide fuel transport, heat removal, neutron moderation in some designs, and chemical containment of fission products.

The distinction matters because fuel form strongly affects **neutronics, fuel handling and processing, fission-product behavior, accident response, materials degradation, and decay-heat removal**. Therefore, saying that every MSR has “fuel dissolved in the coolant” conflates liquid-fuel MSRs with the wider family of molten-salt-cooled reactors. The exact roles are **design-specific**, so the terminology should be qualified rather than generalized.",Generation IV International Forum — MSR public materials,Why is it misleading to describe every molten salt reactor as a reactor with fuel dissolved in the coolant?,"MSR is a broad family. Some concepts use fuel dissolved in a circulating fuel salt, while others use solid fuel with molten salt as coolant. Safety functions, source terms, fuel handling and chemistry therefore differ substantially across concepts.",assistant_drafted_expert_review_pending_user_signoff
RB-SMR-003,SMR / AMR / MMR,Multi-module systems reasoning,Hard,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Low,5,4,5,5,5,4,Unsupported generalization,None,Domain SME review,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Strong multi-module reasoning, but it slightly overstates some site-level consequences and the need for integrated probabilistic treatment as universal requirements. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","A multi-module site can introduce shared systems, common-cause dependencies, interactions between modules, concurrent maintenance or events, staffing and control-room challenges, shared ultimate heat sinks and site-level emergency considerations. The impact is design-specific and must be assessed rather than assumed negligible.","An evaluator must immediately challenge the assumption that multi-module Small Modular Reactor (SMR) sites experience decoupled safety profiles. This claim is fundamentally flawed and highly context-dependent.

Key checks an evaluator should perform include:

* **Site-Level Shared Systems:** Assess whether modules share safety-related infrastructure—such as ultimate heat sinks, control rooms, or radioactive waste systems—where a single failure could impact multiple units.
* **Common-Cause and Interaction Hazards:** Verify if physical proximity introduces spatial risks, including fire propagation, internal flooding, or turbine missiles affecting adjacent reactors.
* **Cumulative Source Term:** Determine whether the aggregate radioactive inventory across all modules alters offsite dose consequences, potentially invalidating single-unit Emergency Planning Zone assumptions.
* **Human Factors and Staffing:** Evaluate if control room operator workload and cognitive burden remain manageable during simultaneous multi-module transients.

Ultimately, safety assessments for multi-module SMRs are strictly plant- and site-specific, requiring rigorous integrated probabilistic risk evaluations.",IAEA SMR publications and general nuclear safety principles,What should an evaluator check when an AI claims that adding more modules to an SMR site only increases electrical output and does not change the safety assessment?,"A multi-module site can introduce shared systems, common-cause dependencies, interactions between modules, concurrent maintenance or events, staffing and control-room challenges, shared ultimate heat sinks and site-level emergency considerations. The impact is design-specific and must be assessed rather than assumed negligible.",assistant_drafted_expert_review_pending_user_signoff
RB-NOG-002,NOG / Operating Procedures,Review vs validation,Medium,Model-B,Claude Web,Claude Web — Claude Sonnet 5 Moyen (displayed),Accept as written,Low,5,5,5,5,5,4,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Excellent separation between desk review and execution-based validation, including timing, indications, workload and plant-response issues. No material correction is needed, and the answer is sufficiently bounded for the stated review vs validation task.","Technical review of an operating guideline is a paper-based, largely deductive check: subject-matter experts verify that the logic is procedurally correct, consistent with design basis, physically plausible, and free of internal contradictions. It confirms the guideline *should* work as written, but it relies on reviewers' mental models of plant response and cannot fully capture transient interactions, timing, or operator workload.

Simulator validation complements this by exercising the guideline against a dynamic plant model (or full-scope simulator) under realistic conditions. It can reveal issues that desk review typically misses: sequencing errors that only appear under time pressure, ambiguous entry/exit conditions, instrumentation that isn't actually available or readable at the point of use, conflicting cues between concurrent procedures, unrealistic assumptions about system response times, and human-factors problems (workload, communication, control-board layout) that affect whether operators can actually execute the steps correctly.

In short: technical review validates the logic; simulator validation validates the logic *in execution*, including human and dynamic-response factors. Its scope and fidelity are plant- and simulator-specific, so results should be interpreted with that limitation in mind.","Technical review of an operating guideline is a paper-based, largely deductive check: subject-matter experts verify that the logic is procedurally correct, consistent with design basis, physically plausible, and free of internal contradictions. It confirms the guideline *should* work as written, but it relies on reviewers' mental models of plant response and cannot fully capture transient interactions, timing, or operator workload.

Simulator validation complements this by exercising the guideline against a dynamic plant model (or full-scope simulator) under realistic conditions. It can reveal issues that desk review typically misses: sequencing errors that only appear under time pressure, ambiguous entry/exit conditions, instrumentation that isn't actually available or readable at the point of use, conflicting cues between concurrent procedures, unrealistic assumptions about system response times, and human-factors problems (workload, communication, control-board layout) that affect whether operators can actually execute the steps correctly.

In short: technical review validates the logic; simulator validation validates the logic *in execution*, including human and dynamic-response factors. Its scope and fidelity are plant- and simulator-specific, so results should be interpreted with that limitation in mind.",IAEA SSR-2/2; SSG-70; SSG-76,Why is simulator validation useful after technical review of an operating guideline?,"Technical review checks correctness and consistency; simulator validation can reveal execution, timing, human-factors, indication, interface and plant-response issues that are difficult to identify from a document alone.",assistant_drafted_expert_review_pending_user_signoff
RB-EPR-001,EPR / PWR Systems & Safety,Defence-in-depth reasoning,Medium,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Low,5,4,5,4,5,4,Source or authority weakness,None,Source verification required,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Correct defence-in-depth logic, but it adds EPR-specific architectural examples and severe-accident provisions that are not required by the supplied basis. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Redundancy is important but not sufficient. Defence in depth also considers independence, diversity where appropriate, physical separation, common-cause failures, multiple barriers, prevention and mitigation levels, and the reliability of supporting systems.","The statement that redundancy alone is sufficient to demonstrate defence-in-depth (DiD) in an EPR-class plant is **incorrect**.

While redundancy—such as the four-train safety system architecture typical of EPR designs—is a core pillar of reliability, DiD is a multi-layered framework that encompasses physical separation, independence, and **diversity** to prevent common-cause failures. Redundancy primarily addresses random single failures within a specific safety level, but comprehensive DiD requires provisions across multiple distinct levels, ranging from preventive operational limits to severe accident mitigation (e.g., dedicated core catchers and robust containment structures).

An EPR-class plant integrates diverse backup systems and physical segregation alongside its redundant trains precisely because redundancy alone cannot protect against systematic design flaws or common-mode failures. Therefore, claiming that redundancy equates to complete defence-in-depth is technically invalid, as DiD inherently demands both structural independence and functional diversity across all safety tiers.",IAEA SSR-2/1 (Rev. 1); public EPR safety information,A response says redundancy alone is sufficient to demonstrate defence in depth in an EPR-class plant. Evaluate.,"Redundancy is important but not sufficient. Defence in depth also considers independence, diversity where appropriate, physical separation, common-cause failures, multiple barriers, prevention and mitigation levels, and the reliability of supporting systems.",assistant_drafted_expert_review_pending_user_signoff
RB-GIF-SCWR-002,GIF Gen-IV — SCWR,Thermal-hydraulics reasoning,Hard,Model-B,Claude Web,Claude Web — Claude Sonnet 5 Moyen (displayed),Accept with minor edits,Low,5,4,5,5,5,4,Source or authority weakness,None,Source verification required,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Excellent thermal-hydraulic explanation, but the universal statement about correlation limitations and active uncertainty goes beyond the provided reference basis. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Thermophysical properties of supercritical water can vary strongly near the pseudo-critical region, affecting density, heat capacity, heat transfer, flow stability and cladding temperature. Appropriate correlations, validation and operating conditions matter.","Near the pseudo-critical point, supercritical water undergoes large, continuous property changes without a phase-change latent heat: density drops sharply, specific heat capacity spikes to a peak (cp,max at the pseudo-critical temperature for a given pressure), thermal conductivity and viscosity vary strongly, and enthalpy rises rapidly with only modest temperature change. This creates two closely related concerns for SCWR heat transfer analysis:

1. **Heat transfer deterioration (HTD):** Under certain combinations of heat flux, mass flux, and pressure, wall temperature can spike abnormally even though bulk fluid conditions look benign — driven by buoyancy effects and the sharp density gradient near the pseudo-critical region, which suppress turbulent mixing near the wall.

2. **Property-driven flow instabilities:** The strong density variation can produce flow redistribution among parallel channels and coupled neutronic-thermal-hydraulic feedback, since local moderation and reactivity depend on coolant density.

Because these effects are sensitive to local operating conditions and channel geometry, their onset and severity are design- and correlation-dependent, and no single heat transfer correlation reliably captures HTD across all SCWR operating ranges — this remains an active area of uncertainty in SCWR thermal-hydraulic design.",GIF SCWR public materials,Why can heat-transfer analysis near the pseudo-critical region be important in an SCWR?,"Thermophysical properties of supercritical water can vary strongly near the pseudo-critical region, affecting density, heat capacity, heat transfer, flow stability and cladding temperature. Appropriate correlations, validation and operating conditions matter.",assistant_drafted_expert_review_pending_user_signoff
RB-NOG-005,NOG / Operating Procedures,Abnormal indication handling,Hard,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Best calibrated: it treats indication disagreement as abnormal, requires independent corroboration and allows continuation only when explicitly supported by procedure-based criteria. No material correction is needed, and the answer is sufficiently bounded for the stated abnormal indication handling task.","No. A disagreement between indications is itself an abnormal condition that should be resolved before relying on either indication to justify continuing, unless the approved operating procedure explicitly permits continuation under defined conditions.

The operator should first assess the **quality and independence of the indications**, including instrument failure modes, calibration/status, redundancy, associated alarms, and whether the two measurements are actually measuring the same parameter or location. A plausible trend from one instrument does not establish that it is correct; the apparently less reliable indication could instead be detecting an emerging condition that the favored instrument cannot see.

The appropriate response is therefore to **maintain the plant in a safe, controlled state**, follow applicable operating procedures, seek independent corroboration where available, and escalate if the discrepancy cannot be resolved. If procedure-based acceptance criteria explicitly identify one indication as the controlling or preferred source under the circumstances, that procedural direction can support continued operation. Otherwise, continuing solely because one instrument “looks right” is not technically justified.","No. A disagreement between indications is itself an abnormal condition that should be resolved before relying on either indication to justify continuing, unless the approved operating procedure explicitly permits continuation under defined conditions.

The operator should first assess the **quality and independence of the indications**, including instrument failure modes, calibration/status, redundancy, associated alarms, and whether the two measurements are actually measuring the same parameter or location. A plausible trend from one instrument does not establish that it is correct; the apparently less reliable indication could instead be detecting an emerging condition that the favored instrument cannot see.

The appropriate response is therefore to **maintain the plant in a safe, controlled state**, follow applicable operating procedures, seek independent corroboration where available, and escalate if the discrepancy cannot be resolved. If procedure-based acceptance criteria explicitly identify one indication as the controlling or preferred source under the circumstances, that procedural direction can support continued operation. Otherwise, continuing solely because one instrument “looks right” is not technically justified.",IAEA SSG-70 and conduct-of-operations principles,"During a normal operating evolution, two indications disagree. Should the operator continue if the more reliable-looking instrument supports the expected trend?","The response depends on the approved procedure and plant state. Conflicting indications should be recognized, instrument validity assessed using approved checks, and progression stopped or escalated when required. An operator should not simply choose the indication that matches expectation.",assistant_drafted_expert_review_pending_user_signoff
RB-REP-001,Replication / FOAK-to-NOAK,Variability analysis,Hard,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Low,4,4,4,5,5,4,Unsupported generalization,None,Systems or interface review,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Correct replication logic, but statements that FOAK builds invariably expose certain issues are too universal and some site/client/logistics dimensions are only implicit. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Replication requires identifying which assumptions and interfaces are stable and which vary with site, regulation, client requirements, logistics, supply chain and constructability. Deviations need explicit qualification and governance. Standardization aims to minimize redesign, not ignore legitimate variability.","Copying a First-Of-A-Kind (FOAK) nuclear design unchanged is insufficient as an Nth-Of-A-Kind (NOAK) replication strategy due to evolving technical, supply chain, and regulatory realities.

* **Supply Chain & Manufacturing Evolution:** Exact fabrication processes, raw materials, or specialized components used in FOAK may become obsolete, unavailable, or economically unviable, necessitating engineering redesign and requalification.
* **Construction & Operational Feedback:** Initial builds invariably reveal constructability clashes, maintenance bottlenecks, and human-factors insights that require targeted design adjustments to improve safety, maintainability, and construction efficiency.
* **Regulatory & Codes Evolution:** Safety standards, environmental requirements, and engineering codes shift over time, meaning a frozen FOAK design may no longer satisfy updated regulatory expectations.

Ultimately, replication success is **design-specific and context-dependent**, heavily influenced by configuration management maturity, site-specific constraints, and vendor capabilities. Strict, unyielding replication risks propagating initial design inefficiencies rather than achieving anticipated economies of scale.",Project replication and systems-engineering methodology,Why is 'copy the FOAK design unchanged' not a sufficient NOAK replication strategy?,"Replication requires identifying which assumptions and interfaces are stable and which vary with site, regulation, client requirements, logistics, supply chain and constructability. Deviations need explicit qualification and governance. Standardization aims to minimize redesign, not ignore legitimate variability.",assistant_drafted_expert_review_pending_user_signoff
RB-SMR-008,SMR / AMR / MMR,Fuel and supply-chain reasoning,Medium,Model-A,Gemini Web,Gemini Web — 3.5 Flash-Lite (displayed),Accept with minor edits,Low,5,4,4,5,4,4,Unsupported generalization,None,Domain SME review,5,"The core conclusion is correct and the response is usable, but a limited correction is needed. Correctly separates manufacturability from supply readiness, but the closing claim about significant vulnerabilities is broader than necessary and some capacity/lead-time factors are compressed. The issue does not overturn the central engineering conclusion, so a minor edit is sufficient.","Technical manufacturability is not the same as commercial availability. Evaluation should consider enrichment level and capacity, qualified fabrication facilities, licensing, transport, supplier concentration, lead times, demand competition and demonstrated production scale. The answer should distinguish technical feasibility from supply-chain readiness.","Evaluating the claim that an advanced reactor lacks fuel-supply risk solely because its fuel is technically manufacturable requires distinguishing between **technical feasibility** and **industrial supply-chain readiness**.

While laboratory or pilot-scale production proves a fuel form can be made, supply-chain risk encompasses multiple dependent variables:

* Feedstock availability (such as High-Assay Low-Enriched Uranium, or HALEU)
* Commercial-scale conversion and fabrication infrastructure
* Transportation logistics and regulatory licensing of fuel facilities
* Geopolitical factors and single-source dependencies

An objective engineering evaluation must conclude that technical manufacturability is a necessary, but insufficient, condition for zero supply risk. Because fuel infrastructure maturity varies dramatically by reactor design and isotope requirements, this conclusion is **highly context-dependent**. Without established commercial supply chains and redundant front-end fuel cycles, advanced reactors retain significant fuel-supply vulnerabilities regardless of basic manufacturing capability.",IAEA ARIS; public fuel-cycle information,How should an AI evaluate the claim that an advanced reactor has no fuel-supply risk because its required fuel can be technically manufactured?,"Technical manufacturability is not the same as commercial availability. Evaluation should consider enrichment level and capacity, qualified fabrication facilities, licensing, transport, supplier concentration, lead times, demand competition and demonstrated production scale. The answer should distinguish technical feasibility from supply-chain readiness.",assistant_drafted_expert_review_pending_user_signoff
RB-EPR-008,EPR / PWR Systems & Safety,Radiation protection interface,Medium,Model-C,ChatGPT Web,ChatGPT Web — GPT-5.6 Luna (displayed/default),Accept as written,Low,5,5,5,5,5,5,No material error,None,No additional review,5,"The response is technically sound and closely aligned with the reference context. Directly connects operating conditions to source terms, transport, leakage, shielding, monitoring and transient exposure while preserving design-specific qualification. No material correction is needed, and the answer is sufficiently bounded for the stated radiation protection interface task.","Radiation-protection assumptions should be reviewed because changing the operating conditions of a reactor auxiliary system can change both the **source term** and the **pathways by which radiation reaches workers or occupied areas**.

For example, changes in flow, temperature, pressure, inventory, purification, leakage, or equipment configuration can alter radionuclide concentrations, holdup, airborne releases, shielding requirements, or dose rates around piping and components. A condition previously treated as bounding may therefore no longer be bounding. Transient conditions can also matter: startup, shutdown, isolation, depressurization, or abnormal operation may produce short-duration dose-rate increases even if steady-state conditions appear acceptable.

The review should therefore verify that existing assumptions about source terms, system boundaries, leakage, ventilation, shielding, occupancy, monitoring, and access controls remain valid. It also helps identify whether instrumentation or radiation-monitoring setpoints remain appropriate.

The exact implications are **design- and change-specific**; not every operating change requires revised assumptions, but the radiation-protection basis should be revalidated whenever the change could materially affect radiological conditions.","Radiation-protection assumptions should be reviewed because changing the operating conditions of a reactor auxiliary system can change both the **source term** and the **pathways by which radiation reaches workers or occupied areas**.

For example, changes in flow, temperature, pressure, inventory, purification, leakage, or equipment configuration can alter radionuclide concentrations, holdup, airborne releases, shielding requirements, or dose rates around piping and components. A condition previously treated as bounding may therefore no longer be bounding. Transient conditions can also matter: startup, shutdown, isolation, depressurization, or abnormal operation may produce short-duration dose-rate increases even if steady-state conditions appear acceptable.

The review should therefore verify that existing assumptions about source terms, system boundaries, leakage, ventilation, shielding, occupancy, monitoring, and access controls remain valid. It also helps identify whether instrumentation or radiation-monitoring setpoints remain appropriate.

The exact implications are **design- and change-specific**; not every operating change requires revised assumptions, but the radiation-protection basis should be revalidated whenever the change could materially affect radiological conditions.",IAEA GSR Part 3; PWR systems engineering,Why should radiation-protection assumptions be reviewed when changing the operating conditions of a reactor auxiliary system?,"Operating conditions can affect source terms, activity transport, residence time, leakage, shielding needs, maintenance exposure and monitoring assumptions. Radiation-protection conclusions should remain consistent with the actual system state and interfaces.",assistant_drafted_expert_review_pending_user_signoff
